"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:45:42.0860204 AM","ella.exe","6300","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion\InstallDate","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"1:45:42.0860340 AM","ella.exe","6300","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows NT\CurrentVersion","SUCCESS",""
"1:45:42.0860657 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0860730 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: Name"
"1:45:42.0860864 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\ProfileList","REPARSE","Desired Access: Read"
"1:45:42.0860974 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\ProfileList","NAME NOT FOUND","Desired Access: Read"
"1:45:42.0861184 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0861255 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: Name"
"1:45:42.0861493 AM","ella.exe","6300","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","REPARSE","Desired Access: Read"
"1:45:42.0861608 AM","ella.exe","6300","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","SUCCESS","Desired Access: Read"
"1:45:42.0861717 AM","ella.exe","6300","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:45:42.0861812 AM","ella.exe","6300","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","SUCCESS",""
"1:45:42.0861941 AM","ella.exe","6300","RegOpenKey","HKU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"1:45:42.0862093 AM","ella.exe","6300","RegQueryKey","HKU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0862164 AM","ella.exe","6300","RegQueryKey","HKU","SUCCESS","Query: Name"
"1:45:42.0862298 AM","ella.exe","6300","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"1:45:42.0862414 AM","ella.exe","6300","RegCloseKey","HKCU","SUCCESS",""
"1:45:42.0862764 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0862848 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: Name"
"1:45:42.0862981 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\ProfileList","REPARSE","Desired Access: Read"
"1:45:42.0863116 AM","ella.exe","6300","RegOpenKey","HKLM\System\CurrentControlSet\Control\ProfileList","NAME NOT FOUND","Desired Access: Read"
"1:45:42.0863309 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0863380 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: Name"
"1:45:42.0863628 AM","ella.exe","6300","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","REPARSE","Desired Access: Read"
"1:45:42.0863734 AM","ella.exe","6300","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","SUCCESS","Desired Access: Read"
"1:45:42.0863872 AM","ella.exe","6300","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:45:42.0863958 AM","ella.exe","6300","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001\State","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"1:45:42.0864106 AM","ella.exe","6300","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"1:45:42.0864188 AM","ella.exe","6300","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001\Preference","NAME NOT FOUND","Desired Access: Query Value"
"1:45:42.0864298 AM","ella.exe","6300","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-451639086-2893036997-1907237296-1001","SUCCESS",""
"1:45:42.0864599 AM","ella.exe","6300","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\39ddcb8d-ef82-5c84-89ca-09580bf0a947","NAME NOT FOUND","Length: 528"
"1:45:42.0865016 AM","ella.exe","6300","QueryNameInformationFile","C:\Windows\SysWOW64\AppResolver.dll","SUCCESS","Name: \Windows\SysWOW64\AppResolver.dll"
"1:45:42.0865366 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"1:45:42.0865443 AM","ella.exe","6300","RegQueryKey","HKLM","SUCCESS","Query: Name"
"1:45:42.0865626 AM","ella.exe","6300","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FileAssociation","SUCCESS","Desired Access: Read"
"1:45:42.0865779 AM","ella.exe","6300","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FileAssociation","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"1:45:42.0865863 AM","ella.exe","6300","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FileAssociation\AddRemoveApps","BUFFER OVERFLOW","Length: 12"
"1:45:42.0865968 AM","ella.exe","6300","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FileAssociation\AddRemoveApps","BUFFER OVERFLOW","Length: 144"
"1:45:42.0866113 AM","ella.exe","6300","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FileAssociation\AddRemoveApps","SUCCESS","Type: REG_SZ, Length: 770, Data: CONTROL.EXE;DELDRV.EXE;DESINSTALADOR.EXE;DESINSTALAR.EXE;DFSVC.EXE;EAUNINSTALL.EXE;GUESTMODEMSG.EXE;HPZSCR01.EXE;HPZSCR40.EXE;INSTALL.EXE;ISUN0407.EXE;ISUNINST.EXE;IUN6002.EXE;LNKSTUB.EXE;MSIEXEC.EXE;MSOOBE.EXE;SETUP.EXE;ST5UNST.EXE;UNINS000.EXE;UNINS001.EXE;UNINS002.EXE;UNINST.EXE;UNINSTAL.EXE;UNINSTALL.EXE;UNINSTALLER.EXE;UNWISE.EXE;UNWISE32.EXE;WERFAULT.EXE;WLRMDR.EXE;WUAPP.EXE;"
