"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"11:32:54.1250260 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\arabtype.ttf","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"11:32:54.1250322 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","AllocationSize: 626,688, EndOfFile: 623,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1250450 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\arabtype.ttf","SUCCESS","SyncType: SyncTypeOther"
"11:32:54.1251244 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Offset: 569,344, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1252923 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Offset: 602,112, Length: 21,516, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1254585 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Offset: 512,000, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1256214 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS","Offset: 544,768, Length: 24,576, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1258021 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\arabtype.ttf","SUCCESS",""
"11:32:54.1258270 PM","Sample_B.exe","3940","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Fonts","SUCCESS","Index: 124, Name: Simplified Arabic (TrueType), Type: REG_SZ, Length: 20, Data: simpo.ttf"
"11:32:54.1259988 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1261203 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1261279 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpo.ttf","SUCCESS",""
"11:32:54.1262203 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1262360 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","AllocationSize: 126,976, EndOfFile: 124,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1262432 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1262502 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpo.ttf","SUCCESS",""
"11:32:54.1263382 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1263533 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1263603 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","AllocationSize: 126,976, EndOfFile: 124,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1263678 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpo.ttf","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"11:32:54.1263737 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","AllocationSize: 126,976, EndOfFile: 124,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1263871 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpo.ttf","SUCCESS","SyncType: SyncTypeOther"
"11:32:54.1264061 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","Offset: 0, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1265676 PM","Sample_B.exe","3940","ReadFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","Offset: 94,208, Length: 30,420, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"11:32:54.1267371 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpo.ttf","SUCCESS",""
"11:32:54.1268246 PM","Sample_B.exe","3940","CreateFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"11:32:54.1268405 PM","Sample_B.exe","3940","QueryBasicInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","CreationTime: 7/13/2009 6:04:21 PM, LastAccessTime: 7/13/2009 6:04:21 PM, LastWriteTime: 6/10/2009 1:25:45 PM, ChangeTime: 1/2/2018 5:18:01 PM, FileAttributes: A"
"11:32:54.1268478 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","AllocationSize: 126,976, EndOfFile: 124,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1268550 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpo.ttf","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_READONLY"
"11:32:54.1268612 PM","Sample_B.exe","3940","QueryStandardInformationFile","C:\Windows\Fonts\simpo.ttf","SUCCESS","AllocationSize: 126,976, EndOfFile: 124,628, NumberOfLinks: 1, DeletePending: False, Directory: False"
"11:32:54.1268738 PM","Sample_B.exe","3940","CreateFileMapping","C:\Windows\Fonts\simpo.ttf","SUCCESS","SyncType: SyncTypeOther"
"11:32:54.1269355 PM","Sample_B.exe","3940","CloseFile","C:\Windows\Fonts\simpo.ttf","SUCCESS",""
"11:32:54.1269615 PM","Sample_B.exe","3940","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Fonts","SUCCESS","Index: 125, Name: Simplified Arabic Bold (TrueType), Type: REG_SZ, Length: 24, Data: simpbdo.ttf"
