"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"11:23:30.4613324 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\PreCreate","NAME NOT FOUND","Length: 16"
"11:23:30.4613642 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\Stream","NAME NOT FOUND","Length: 16"
"11:23:30.4613735 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\PublishExpandedPath","NAME NOT FOUND","Length: 16"
"11:23:30.4613815 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\DefinitionFlags","NAME NOT FOUND","Length: 16"
"11:23:30.4613896 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\Attributes","NAME NOT FOUND","Length: 16"
"11:23:30.4613974 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\FolderTypeID","NAME NOT FOUND","Length: 90"
"11:23:30.4614054 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\InitFolderHandler","NAME NOT FOUND","Length: 90"
"11:23:30.4614190 PM","charles.exe","1800","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"11:23:30.4614308 PM","charles.exe","1800","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}\PropertyBag","NAME NOT FOUND","Desired Access: Read"
"11:23:30.4614421 PM","charles.exe","1800","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{9274BD8D-CFD1-41C3-B35E-B13F55A758F4}","SUCCESS",""
"11:23:30.4614675 PM","charles.exe","1800","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"11:23:30.4614743 PM","charles.exe","1800","RegQueryKey","HKLM","SUCCESS","Query: Name"
"11:23:30.4614922 PM","charles.exe","1800","RegOpenKey","HKLM\Software\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"11:23:30.4615031 PM","charles.exe","1800","RegSetInfoKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"11:23:30.4615285 PM","charles.exe","1800","RegQueryKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"11:23:30.4615373 PM","charles.exe","1800","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}","SUCCESS","Desired Access: Read"
"11:23:30.4615502 PM","charles.exe","1800","RegCloseKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS",""
"11:23:30.4615588 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\Category","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"11:23:30.4615675 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\Name","SUCCESS","Type: REG_SZ, Length: 36, Data: Development Files"
"11:23:30.4615766 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\ParentFolder","SUCCESS","Type: REG_SZ, Length: 78, Data: {F1B32785-6FBA-4FCF-9D55-7B8E7F157091}"
"11:23:30.4615854 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\Description","NAME NOT FOUND","Length: 144"
"11:23:30.4615935 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\RelativePath","SUCCESS","Type: REG_SZ, Length: 34, Data: DevelopmentFiles"
"11:23:30.4616024 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\ParsingName","NAME NOT FOUND","Length: 144"
"11:23:30.4616104 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\InfoTip","NAME NOT FOUND","Length: 144"
"11:23:30.4616184 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\LocalizedName","NAME NOT FOUND","Length: 144"
"11:23:30.4616263 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\Icon","NAME NOT FOUND","Length: 144"
"11:23:30.4616344 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\Security","NAME NOT FOUND","Length: 144"
"11:23:30.4616429 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\StreamResource","NAME NOT FOUND","Length: 144"
"11:23:30.4616508 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\StreamResourceType","NAME NOT FOUND","Length: 144"
"11:23:30.4616587 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\LocalRedirectOnly","NAME NOT FOUND","Length: 16"
"11:23:30.4616700 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\Roamable","NAME NOT FOUND","Length: 16"
"11:23:30.4616782 PM","charles.exe","1800","RegQueryValue","HKLM\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{DBE8E08E-3053-4BBC-B183-2A7B2B191E59}\PreCreate","NAME NOT FOUND","Length: 16"
